Ref,x,y,Connectivity,Isovist Area,Isovist Compactness,Isovist Drift Angle,Isovist Drift Magnitude,Isovist Max Radial,Isovist Min Radial,Isovist Occlusivity,Isovist Perimeter,Point First Moment,Point Second Moment,Visual Clustering Coefficient,Visual Control,Visual Controllability,Visual Entropy,Visual Integration [HH],Visual Integration [P-value],Visual Integration [Tekl],Visual Mean Depth,Visual Node Count,Visual Relativised Entropy
131087,3090000,778000,56,2.262069e+08,0.081738189,83.926186,34960.707,84641.195,359.10858,42277.41,186485.62,2043839.9,1.08388e+11,0.87337661,0.75922626,0.082717873,1.9721823,4.1656952,0.52725911,0.83109027,2.8821375,1367,2.3120248
131088,3090000,780000,75,2.9420083e+08,0.071523011,76.224335,27254.414,82840.234,595.26337,54867.164,227354.73,2237372,1.06084e+11,0.58342344,1.2915211,0.10623229,1.7401439,4.6323538,0.58632493,0.84248304,2.692533,1367,2.3746779
131089,3090000,782000,72,2.8705606e+08,0.073085107,77.296127,26060.824,81050.047,434.14285,54461.672,222164.09,2113327.2,1.01452e+11,0.61697966,1.2188641,0.10271041,1.9858044,4.3307729,0.54815334,0.83522415,2.8103952,1367,2.2536016
131090,3090000,784000,69,2.7018992e+08,0.079311505,79.41716,25966.211,79281.273,273.02234,51406.086,206905.2,2024861.9,9.7739997e+10,0.65430522,1.1553932,0.099710986,1.9867082,4.3046632,0.54484856,0.83457822,2.8213763,1367,2.2580543
131091,3090000,786000,60,2.3500291e+08,0.079078265,82.313675,28928.912,77529.5,111.90183,48656.172,193247.09,1844626.6,8.9444e+10,0.80451977,0.82282245,0.087847732,1.9765588,4.1819611,0.52931792,0.83150297,2.8748169,1367,2.3053885
196623,3092000,778000,50,1.9350226e+08,0.0811731,87.865517,32201.561,82643.18,375.05832,49798.777,173078,1680254.6,8.2984002e+10,0.94693875,0.71108282,0.074515648,1.9620767,4.1463423,0.5248096,0.8305977,2.8909223,1367,2.3244421
196624,3092000,780000,70,2.7497402e+08,0.068138137,78.183594,23063.672,80773.398,1106.8224,65719.992,225193.38,1850994.6,8.0999997e+10,0.59668738,1.2816051,0.099573255,1.7310358,4.6163802,0.58430308,0.84210747,2.6983895,1367,2.3856018
196625,3092000,782000,69,2.6724811e+08,0.069501199,79.784042,21584.342,78912.328,2101.627,64164.684,219819.44,1764650.6,7.6868002e+10,0.61338449,1.3024788,0.098430812,1.7302356,4.6104183,0.58354849,0.84196711,2.7005856,1367,2.3873441
196626,3092000,784000,63,2.4191134e+08,0.076742321,83.69722,21823.463,77061.906,828.9491,59513.051,199028.64,1589903.4,6.9128004e+10,0.68458784,1.1434902,0.091836736,1.9771749,4.2840009,0.54223329,0.83406496,2.8301611,1367,2.2701688
196627,3092000,786000,51,1.9833176e+08,0.083366893,87.115097,25833.787,75220.891,1032.3186,47049.219,172903.69,1418690.4,6.2635999e+10,0.94117647,0.71089906,0.075780086,1.9629129,4.1511636,0.52541983,0.83072054,2.8887262,1367,2.3228796
196628,3092000,788000,50,1.9866253e+08,0.084159188,86.88372,24497.109,73394.031,1235.8594,36923.52,172231.33,1348726.4,5.7495998e+10,0.97387755,0.67717361,0.074515648,1.9620767,4.1463423,0.5248096,0.8305977,2.8909223,1367,2.3244421
196629,3092000,790000,51,2.0012147e+08,0.084692515,86.588753,22997.602,71585.828,1439.4001,37072.914,172317.45,1340419,5.5319998e+10,0.96392155,0.6794349,0.075892858,1.9638215,4.1495552,0.52521628,0.8306796,2.8894582,1367,2.3223147
196630,3092000,792000,51,2.0214597e+08,0.085261218,86.23761,21489.793,69794.023,1612.5476,37263.141,172608.31,1284340.6,5.0839998e+10,0.96392155,0.6794349,0.075892858,1.9638215,4.1495552,0.52521628,0.8306796,2.8894582,1367,2.3223147
196631,3092000,794000,51,2.0459835e+08,0.085892916,85.822632,20008.889,68024.211,1460.9193,37481.352,173012.44,1232472.1,4.6776001e+10,0.96392155,0.6794349,0.075892858,1.9638215,4.1495552,0.52521628,0.8306796,2.8894582,1367,2.3223147
196632,3092000,796000,53,2.0747765e+08,0.086600393,85.331116,18572.73,66284.109,1299.7987,37730.773,173512.45,1291288.5,4.9039999e+10,0.94049346,0.68380582,0.078286558,1.9644701,4.16084,0.52664459,0.83096683,2.8843338,1367,2.3198626
196633,3092000,798000,54,2.1080274e+08,0.08740145,84.74688,17190.186,64572.637,1138.6782,37849.141,174093.97,1304347.5,4.9028002e+10,0.92941999,0.68581361,0.079763666,1.967062,4.162457,0.52684927,0.83100796,2.8836017,1367,2.3172293
196634,3092000,800000,55,2.1466776e+08,0.08831574,84.049438,15876.633,62899.641,977.55774,38164.773,174770.97,1316637.2,4.8747999e+10,0.9164983,0.68782538,0.081240766,1.9696326,4.1640754,0.52705413,0.83104908,2.8828697,1367,2.3146167
196635,3092000,802000,56,2.1921606e+08,0.089377515,83.214813,14650.833,61274.461,816.43719,38526.855,175560.58,1329813.1,4.8256e+10,0.90324676,0.68983924,0.082717873,1.9721823,4.1656952,0.52725911,0.83109027,2.8821375,1367,2.3120248
196636,3092000,804000,58,2.2457072e+08,0.090619847,82.216476,13524.902,59694.461,655.31671,38815.098,176469.58,1376942.4,4.8647999e+10,0.87598306,0.69422245,0.085672081,1.9772204,4.1689382,0.52766961,0.83117265,2.8806734,1367,2.3069015
196637,3092000,806000,59,2.3097709e+08,0.09210135,81.027969,12524.137,58174.184,494.1962,39338.125,177523.72,1391758.9,4.7775998e+10,0.86265343,0.69626296,0.087149188,1.9797094,4.1705613,0.52787507,0.83121389,2.8799415,1367,2.3043694
196638,3092000,808000,61,2.3874981e+08,0.09392076,79.628716,11675.562,56716.051,333.07568,39752.871,178729.25,1463167,4.9848001e+10,0.8377049,0.7003774,0.089837998,1.9786768,4.2635355,0.53964299,0.8335548,2.8389459,1367,2.2733238
196639,3092000,810000,62,2.483205e+08,0.096201137,78.012764,11010.749,55321.938,171.95517,40379.09,180103.06,1494195.6,4.9979998e+10,0.82601798,0.70235121,0.091310754,1.9811113,4.2652335,0.53985792,0.83359718,2.8382137,1367,2.2708311
