Ref,x,y,Connectivity,Isovist Area,Isovist Compactness,Isovist Drift Angle,Isovist Drift Magnitude,Isovist Max Radial,Isovist Min Radial,Isovist Occlusivity,Isovist Perimeter,Point First Moment,Point Second Moment,Visual Clustering Coefficient,Visual Control,Visual Controllability,Visual Entropy,Visual Integration [HH],Visual Integration [P-value],Visual Integration [Tekl],Visual Mean Depth,Visual Node Count,Visual Relativised Entropy
65612,26,1036,253,1026.4174,0.055008847,33.434151,33.139793,95.685692,0.15770996,371.55896,484.22885,9208.4453,493288,0.60232764,0.8270908,0.1259333,1.559122,6.6049175,0.72386539,0.87954962,2.3765318,3265,2.2940257
65613,26,1038,281,1112.7369,0.058029581,29.445185,37.040897,104.31096,0.23370314,378.31763,490.88129,11195.433,649020,0.61428571,0.74675608,0.1382874,1.5768963,6.6807504,0.7321763,0.88074511,2.3609068,3265,2.2680008
65621,26,1054,721,2919.801,0.065839358,4.8774829,76.634163,155.75943,0.80571944,628.96552,746.51538,55452.133,5438048,0.81784558,0.75784439,0.26323476,1.4126383,9.4993258,1.0410779,0.91927117,1.9571079,3265,2.111258
131146,28,1032,157,626.51917,0.035157062,50.937756,19.810673,81.033661,0.46873632,364.37177,473.22296,4032.3022,159644,0.496407,1.1311761,0.08088614,1.4853406,6.3668513,0.69777453,0.87572724,2.4280024,3265,2.393858
131147,28,1034,155,632.7171,0.020582573,55.230278,15.43187,125.40405,1.4883986,489.11893,621.52686,3152.1733,86704,0.61767912,0.96232271,0.0840564,1.6841781,5.9080019,0.64748698,0.8680408,2.5389092,3265,2.3014164
131148,28,1036,266,1050.0537,0.041381244,39.837833,29.505577,89.56102,2.1283543,433.38065,564.68848,9027.8887,449356,0.54850334,0.90734148,0.1331998,1.5741689,6.6034474,0.72370428,0.87952638,2.3768382,3265,2.281059
131149,28,1038,278,1097.3617,0.048294075,35.818863,32.130505,94.032364,2.2248662,405.50638,534.35876,9987.3184,526208,0.58974624,0.78931296,0.13803376,1.5787616,6.6493154,0.72873116,0.88025081,2.3673408,3265,2.2706354
131150,28,1040,331,1298.807,0.03043972,30.221924,39.976852,151.36447,1.7014709,593.64807,732.24585,14010.793,898428,0.56154901,0.88153189,0.12448289,1.2153817,8.2570658,0.90493244,0.90353441,2.1011028,3265,2.399961
131151,28,1042,393,1551.7997,0.021847796,24.663399,50.254276,150.20851,0.86897242,804.73853,944.75446,20738.078,1667076,0.56809211,0.792467,0.1452865,1.2362177,8.5128784,0.9329682,0.90691423,2.0680146,3265,2.3558967
131152,28,1044,405,1605.8882,0.038379669,19.31497,54.961037,145.88341,0.052662488,588.44769,725.12347,23123.74,1936564,0.64289206,0.64380699,0.14928123,1.2401267,8.5620003,0.93835175,0.90755445,2.0618873,3265,2.3476686
131155,28,1050,371,1503.834,0.032334447,16.784094,56.90625,146.19789,0.36833,645.36218,764.49066,22154.553,1984628,0.54922414,0.64549416,0.13664825,1.2118491,8.483675,0.92976761,0.90653229,2.0716913,3265,2.3809624
131156,28,1052,823,3353.3201,0.059295364,8.3566399,75.639214,152.84715,1.2716432,687.95886,843.00873,63341.637,6227132,0.76249731,1.0084291,0.29970866,1.450441,9.8427505,1.0787154,0.92334628,1.9237132,3265,2.0515728
131157,28,1054,778,3158.1772,0.049669847,5.1768022,72.48777,153.72626,2.3706355,740.18457,893.87494,57313.109,5486896,0.76055491,0.99031329,0.2833212,1.432786,9.6980047,1.062852,0.92164195,1.9375,3265,2.0779948
131158,28,1056,729,2964.6858,0.061322767,1.6830647,69.596336,154.90697,1.4523882,629.53009,779.44128,51823.344,4862076,0.7483871,0.9557628,0.2657674,1.4136754,9.5359554,1.0450922,0.91971105,1.9534314,3265,2.1074417
131159,28,1058,642,2567.0334,0.052248094,356.96365,64.54007,156.69537,0.27239105,650.56775,785.75195,43219.246,3923852,0.69598711,0.86005962,0.23387977,1.370075,9.2824192,1.017306,0.91663992,1.979473,3265,2.166657
196680,30,1028,152,625.79834,0.053890023,65.07914,18.406933,86.342384,0.26095241,263.10745,382.00403,3333.0745,110432,0.54897177,1.1766936,0.089411765,1.7161731,5.7212057,0.62701505,0.86478049,2.5891545,3265,2.3029544
196681,30,1030,231,906.36896,0.036157619,52.296467,34.461346,126.07198,1.1395388,397.42401,561.25153,8850.916,555808,0.43327686,1.2798119,0.11197285,1.5198607,6.6657443,0.73053169,0.88050938,2.3639705,3265,2.3201184
196682,30,1032,219,893.16199,0.036500908,49.053818,36.071732,125.42963,2.1535211,420.04813,554.52124,8608.3154,542860,0.44711155,1.1187464,0.10610465,1.5084456,6.6493154,0.72873116,0.88025081,2.3673408,3265,2.3325615
196683,30,1034,88,382.4964,0.041108444,76.138908,12.868271,80.361862,1.1862051,244.89563,341.9425,1829.576,77616,0.54362589,0.73009837,0.059219383,1.6645833,5.4271936,0.59479284,0.85947955,2.675245,3265,2.3986833
196684,30,1036,243,979.88739,0.046861552,48.992321,28.494522,83.53949,0.34742582,368.41193,512.60718,8082.1069,386800,0.58096111,0.75659448,0.12366413,1.5616536,6.5236082,0.71495432,0.87825614,2.3936887,3265,2.3032179
196685,30,1038,267,1035.6548,0.041142434,43.940208,31.866835,90.239014,1.7861019,434.30878,562.42871,9570.3965,505188,0.58998621,0.73982912,0.13290194,1.5709143,6.6255622,0.72612798,0.87987614,2.3722427,3265,2.2807863
196686,30,1040,299,1177.2527,0.04522609,37.033943,34.377403,100.71648,3.5293469,440.02563,571.93311,11456.608,651496,0.58752888,0.7957359,0.14685658,1.590193,6.7140031,0.73582059,0.88126612,2.3541667,3265,2.2518518
196687,30,1042,379,1474.7706,0.025245141,28.3636,45.765133,148.52003,2.6763763,722.05054,856.79767,18700.396,1426008,0.54677445,0.9002521,0.13969775,1.2196912,8.498251,0.93136513,0.90672302,2.0698528,3265,2.3723915
196688,30,1044,431,1683.9734,0.030117316,22.798218,50.446953,145.00758,1.9443237,703.10767,838.23236,23342.621,1912612,0.56831598,0.94610566,0.1587477,1.2583454,8.631732,0.94599396,0.90845847,2.0533087,3265,2.3245289
196689,30,1046,488,1907.1023,0.0243046,19.218834,54.024807,145.89865,1.5781373,847.96021,992.9964,28108.592,2356672,0.59623992,1.0381124,0.179676,1.2977682,8.77985,0.96222699,0.91036069,2.0355392,3265,2.2751477
196690,30,1048,589,2342.7434,0.030399455,16.487156,63.650982,145.09874,1.5896431,833.34796,984.08905,39023.699,3539560,0.62000626,1.1295023,0.21662375,1.3582407,9.0585756,0.99277383,0.91387564,2.0036764,3265,2.1961031
