Ref,x,y,Connectivity,Isovist Area,Isovist Compactness,Isovist Drift Angle,Isovist Drift Magnitude,Isovist Max Radial,Isovist Min Radial,Isovist Occlusivity,Isovist Perimeter,Point First Moment,Point Second Moment,Visual Clustering Coefficient,Visual Control,Visual Controllability,Visual Entropy,Visual Integration [HH],Visual Integration [P-value],Visual Integration [Tekl],Visual Mean Depth,Visual Node Count,Visual Relativised Entropy
196645,-54000,20000,23,79732624,0.23769219,13.334571,7308.1509,22588.629,503.75677,2471.8848,64925.527,200155.69,2.464e+09,0.57707512,1.721972,0.88461536,2.7902112,1.2470233,0.27059218,0.67446268,4.4736843,115,2.7630537
196646,-54000,22000,15,49135656,0.41505921,20.730915,2495.9651,10769.687,503.75677,6472.3018,38569.883,64590.328,3.2e+08,0.8952381,0.99948251,0.625,2.9782689,0.99761868,0.21647376,0.65020597,5.3421054,115,2.9633174
196647,-54000,24000,14,45452328,0.57452404,337.01694,2128.4932,8414.5518,503.75677,3148.321,31530.357,52859.105,2.2e+08,1,0.91138726,0.58333331,2.9850326,0.99560738,0.21603732,0.64999455,5.3508773,115,2.9492409
196648,-54000,26000,14,44540284,0.62340796,304.45209,3338.7502,9209.7891,503.75677,2501.6699,29963.688,58265.773,2.8e+08,1,0.91138726,0.58333331,2.9850326,0.99560738,0.21603732,0.64999455,5.3508773,115,2.9492409
196649,-54000,28000,14,44126868,0.64519107,291.5206,5070.1992,10653.922,65.921059,2271.5273,29316.514,74155.695,4.6e+08,1,0.91138726,0.58333331,2.9850326,0.99560738,0.21603732,0.64999455,5.3508773,115,2.9492409
262181,-52000,20000,23,79744112,0.23765589,18.24296,5383.833,20592.262,1299.079,2472.2188,64935.164,175742.66,1.936e+09,0.57707512,1.721972,0.88461536,2.7902112,1.2470233,0.27059218,0.67446268,4.4736843,115,2.7630537
262182,-52000,22000,14,46149568,0.53883731,88.973778,1111.5699,6562.3315,2090.7893,3721.127,32806.5,50907.09,2.2e+08,1,0.91138726,0.58333331,2.9850326,0.99560738,0.21603732,0.64999455,5.3508773,115,2.9492409
262183,-52000,24000,14,44267028,0.63790929,259.85162,740.73932,6264.2412,2090.7893,2343.7781,29530.15,45202.254,1.6e+08,1,0.91138726,0.58333331,2.9850326,0.99560738,0.21603732,0.64999455,5.3508773,115,2.9492409
262184,-52000,26000,14,43800888,0.66145873,266.56418,2692.3884,7843.2383,2065.9211,2130.4717,28846.625,50907.09,2.2e+08,1,0.91138726,0.58333331,2.9850326,0.99560738,0.21603732,0.64999455,5.3508773,115,2.9492409
262185,-52000,28000,14,43589592,0.67130995,267.85995,4671.6572,9671.3223,65.921059,2062.0269,28565.037,67742.656,4e+08,1,0.91138726,0.58333331,2.9850326,0.99560738,0.21603732,0.64999455,5.3508773,115,2.9492409
327717,-50000,20000,23,79758464,0.23761022,28.406927,3542.3938,18596.672,689.58447,2472.6848,64947.25,164155.69,1.6e+09,0.57707512,1.721972,0.88461536,2.7902112,1.2470233,0.27059218,0.67446268,4.4736843,115,2.7630537
327718,-50000,22000,14,43163476,0.68886518,148.06328,2591.375,7555.0791,90.789413,1987.3704,28060.541,58265.773,2.8e+08,1,0.91138726,0.58333331,2.9850326,0.99560738,0.21603732,0.64999455,5.3508773,115,2.9492409
327719,-50000,24000,14,43081732,0.69181567,195.75299,2289.5864,6954.4277,90.789413,1983.4034,27974.111,52859.105,2.2e+08,1,0.91138726,0.58333331,2.9850326,0.99560738,0.21603732,0.64999455,5.3508773,115,2.9492409
327720,-50000,26000,14,43061488,0.69252366,229.91689,3423.9644,8576.7344,90.789413,1982.9498,27953.24,58265.773,2.8e+08,1,0.91138726,0.58333331,2.9850326,0.99560738,0.21603732,0.64999455,5.3508773,115,2.9492409
327721,-50000,28000,14,43052316,0.69284159,244.47882,5118.2661,10332.313,65.921059,1982.8134,27943.848,74155.695,4.6e+08,1,0.91138726,0.58333331,2.9850326,0.99560738,0.21603732,0.64999455,5.3508773,115,2.9492409
393253,-48000,20000,12,49637520,0.2295429,357.50082,4298.7388,16602.146,683.58179,7353.5317,52128.836,90324.555,9.12e+08,0.87878788,0.89640224,0.46153846,2.9210591,1.21332,0.2632789,0.67138726,4.5701756,115,2.5750878
458789,-46000,20000,11,47728596,0.22976258,354.55005,2688.071,14609.116,683.58179,7138.668,51092.199,76000,6.8e+08,1,0.82215977,0.42307693,2.919029,1.2103462,0.26263359,0.67111319,4.5789475,115,2.5717788
524325,-44000,20000,11,47138172,0.22944203,341.42026,856.44684,12618.293,683.58179,7101.3135,50810.656,72000,5.84e+08,1,0.82215977,0.42307693,2.919029,1.2103462,0.26263359,0.67111319,4.5789475,115,2.5717788
589861,-42000,20000,11,46880632,0.22911914,194.13725,1146.5527,12571.06,683.58179,7090.9521,50707.359,72000,5.84e+08,1,0.82215977,0.42307693,2.919029,1.2103462,0.26263359,0.67111319,4.5789475,115,2.5717788
655397,-40000,20000,11,46781416,0.22873241,185.29025,3066.408,14561.818,683.58179,7091.4805,50696.473,76000,6.8e+08,1,0.82215977,0.42307693,2.919029,1.2103462,0.26263359,0.67111319,4.5789475,115,2.5717788
720933,-38000,20000,11,46827264,0.2280705,183.22913,4996.6704,16554.807,683.58179,7106.9839,50794.859,84000,8.72e+08,1,0.82215977,0.42307693,2.919029,1.2103462,0.26263359,0.67111319,4.5789475,115,2.5717788
786469,-36000,20000,11,47231480,0.2259877,182.24805,6864.127,18549.303,683.58179,7200.4429,51248.164,96000,1.16e+09,1,0.82215977,0.42307693,2.919029,1.2103462,0.26263359,0.67111319,4.5789475,115,2.5717788
852005,-34000,20000,13,58370496,0.19397397,176.26974,6844.6523,20544.869,683.58179,12070.248,61493.598,119300.56,1.572e+09,0.74358976,1.2603883,0.38235295,2.7507169,1.5577958,0.33802685,0.70052254,3.7807016,115,2.2957499
