Ref,x,y,Connectivity,Isovist Area,Isovist Compactness,Isovist Drift Angle,Isovist Drift Magnitude,Isovist Max Radial,Isovist Min Radial,Isovist Occlusivity,Isovist Perimeter,Point First Moment,Point Second Moment,Visual Clustering Coefficient,Visual Control,Visual Controllability,Visual Entropy,Visual Integration [HH],Visual Integration [P-value],Visual Integration [Tekl],Visual Mean Depth,Visual Node Count,Visual Relativised Entropy
851992,56,-164,82,324.06757,0.036058277,5.1314197,16.05689,90.894409,0.19187295,252.20569,336.06265,1578.2968,56380,0.4604035,0.72462308,0.12872842,1.0421613,6.8748636,0.98250532,0.89363343,2.0042253,711,2.4853315
851993,56,-162,97,367.82608,0.041064177,13.404572,21.321901,94.964798,0.58629119,256.03873,335.50162,2379.6165,105916,0.41430414,0.74011445,0.15203762,1.0300848,7.1454487,1.0211754,0.89891571,1.9661971,711,2.4627528
851994,56,-160,104,426.23816,0.064646386,358.70837,32.87479,91.118988,0.65792269,197.74217,287.84518,3214.0444,178524,0.52688575,0.7228151,0.17133443,1.2771254,6.6872821,0.95569754,0.88988614,2.0323944,711,2.296468
851995,56,-158,92,346.42783,0.046515867,355.20047,24.833576,91.902214,0.39764813,217.664,305.92203,2534.8196,136392,0.47611085,0.67532033,0.1503268,1.2041798,6.6690855,0.95309699,0.88951874,2.0352113,711,2.3628807
917526,58,-168,165,649.98657,0.045691747,5.9736061,33.718548,88.697701,0.16289163,315.26031,422.80319,5935.7256,311976,0.56459719,0.86264902,0.27182865,1.4335951,7.294312,1.0424498,0.90176272,1.9464788,711,2.0890749
917527,58,-166,100,428.92841,0.026755933,4.3490992,22.289433,77.110764,1.2784795,354.14243,448.8356,2084.0974,71440,0.48767677,0.7556169,0.16528925,1.2715275,6.6329875,0.94793814,0.88878781,2.0408452,711,2.3079572
917528,58,-164,69,271.73978,0.114481,16.711252,8.0667686,36.479305,2.0997632,98.625664,172.70894,773.27942,11752,0.57502133,0.6710034,0.11519199,1.1790006,6.3167238,0.90274006,0.88226235,2.0929577,711,2.4320035
917529,58,-162,100,394.00342,0.052564092,14.920799,23.140377,87.695435,2.5693276,227.06932,306.90952,2576.418,126452,0.41959596,0.7505998,0.15503876,1.0112591,7.2511506,1.0362815,0.90094143,1.9521127,711,2.4688284
917530,58,-160,115,469.20923,0.056272101,2.0296681,31.348619,89.150414,2.6550515,231.88521,323.69922,3598.6135,197076,0.52051866,0.76081944,0.18760195,1.2748809,6.8942022,0.98526907,0.89401573,2.0014083,711,2.2722654
917531,58,-158,78,295.4136,0.056520406,350.97086,23.570429,89.909767,2.340688,178.73204,256.28168,1925.8469,103448,0.47619048,0.6228236,0.12913907,1.2084961,6.3908443,0.91333282,0.88381183,2.0802817,711,2.3981354
