Ref,x,y,Connectivity,Isovist Area,Isovist Compactness,Isovist Drift Angle,Isovist Drift Magnitude,Isovist Max Radial,Isovist Min Radial,Isovist Occlusivity,Isovist Perimeter,Point First Moment,Point Second Moment,Visual Clustering Coefficient,Visual Control,Visual Controllability,Visual Entropy,Visual Integration [HH],Visual Integration [P-value],Visual Integration [Tekl],Visual Mean Depth,Visual Node Count,Visual Relativised Entropy
65594,-60000,12000,154,6.6752058e+08,0.099803977,338.52542,29284.875,76295.586,720.77362,51996.672,289910.09,5757198,2.7821602e+11,0.59027249,1.6548414,0.36320755,1.7377652,5.450141,0.76984453,0.86277956,2.2824934,755,2.0877044
131129,-58000,10000,128,5.5696493e+08,0.092775568,325.39017,29511.012,73478.297,1007.7191,64821.168,274664.19,4256662,1.9631201e+11,0.73978841,1.2691272,0.37317786,1.9555598,4.3882484,0.61984986,0.83641142,2.5928383,755,2.1318662
131130,-58000,12000,152,6.5998598e+08,0.099175341,336.06851,27440.91,74777.711,2130.1692,51909.961,289181.47,5448548.5,2.5822799e+11,0.59820497,1.621587,0.35849056,1.7355915,5.4388919,0.76825559,0.86252034,2.285146,755,2.0909219
131131,-58000,14000,154,6.6700621e+08,0.099918909,333.55716,28146.553,76136.195,711.15417,51986.234,289631.66,5613360.5,2.68624e+11,0.59027249,1.6548414,0.36320755,1.7377652,5.450141,0.76984453,0.86277956,2.2824934,755,2.0877044
196664,-56000,8000,111,4.821208e+08,0.19758551,319.18176,31187.451,70662.156,998.93762,15505.519,175107.73,3617334.2,1.67452e+11,0.94856673,0.95729619,0.33944955,1.9309748,4.2708964,0.60327363,0.83322626,2.6366048,755,2.173938
196665,-56000,10000,110,4.8398595e+08,0.19136849,316.59372,32236.18,71955.445,2417.5352,17092.732,178273.22,3657909.2,1.72224e+11,0.9552961,0.95218915,0.33639145,1.9296968,4.2674384,0.60278517,0.83313143,2.6379311,755,2.1754627
196666,-56000,12000,117,5.1105539e+08,0.14221856,315.41083,31588.621,73311.07,2509.3184,34070.973,212500.91,3876912.8,1.8379601e+11,0.85529029,1.0822316,0.35347432,1.9397842,4.3057895,0.60820234,0.83417982,2.6233423,755,2.1604083
196667,-56000,14000,153,6.5885536e+08,0.099236116,330.58041,26424.943,74805.242,1550.1453,41509.828,288845.16,5376393.5,2.52024e+11,0.59442723,1.6372551,0.36084905,1.7366881,5.4445105,0.76904923,0.86264986,2.2838197,755,2.089304
196668,-56000,16000,87,3.7284906e+08,0.085081518,12.769226,15958.095,55574.828,701.53467,92112.57,234667.97,2161278.8,7.5404001e+10,0.55172414,1.1108838,0.31182796,1.524282,4.4701324,0.6314162,0.83859789,2.5636604,755,2.4678643
262199,-54000,6000,109,4.7818237e+08,0.20647781,319.44894,28688.029,67847.336,990.15619,13513.024,170594.5,3356596.2,1.48368e+11,0.98097181,0.9200812,0.33333334,1.9283925,4.2639856,0.60229748,0.83303672,2.6392572,755,2.1770127
262200,-54000,8000,108,4.7692909e+08,0.20697697,316.53357,29957.922,69133.82,2408.7537,13425.354,170165.23,3391888.8,1.5270801e+11,0.98823124,0.91497105,0.33027524,1.9270618,4.2605386,0.60181057,0.83294213,2.6405835,755,2.1785879
262201,-54000,10000,108,4.7557366e+08,0.20776552,313.86047,31314.158,70486.211,2499.6992,13286.117,169600.48,3514166.8,1.62184e+11,0.98823124,0.91497105,0.33027524,1.9270618,4.2605386,0.60181057,0.83294213,2.6405835,755,2.1785879
262202,-54000,12000,108,4.7373907e+08,0.2095608,311.41116,32776.848,71983.453,1090.3035,12974.77,168546.41,3656741.2,1.7253201e+11,0.98823124,0.91497105,0.33027524,1.9270618,4.2605386,0.60181057,0.83294213,2.6405835,755,2.1785879
262204,-54000,16000,53,2.2232088e+08,0.12876862,45.536858,22393.455,53993.273,1101.9197,39830.918,147295.69,1369623,5.0811998e+10,0.89259797,0.77274793,0.19064748,1.4515659,4.3412571,0.61321223,0.83514345,2.6100795,755,2.551054
262205,-54000,18000,55,2.3541571e+08,0.13183062,41.314739,21611.709,52775.07,691.91516,50934.555,149800.92,1410317.9,5.1304002e+10,0.88350171,0.80984581,0.19784173,1.4569931,4.3484211,0.61422414,0.8353374,2.6074271,755,2.5450921
327734,-52000,4000,109,4.7689632e+08,0.20939048,319.88165,25995.107,65034.066,981.37476,12971.085,169175.88,3136720.5,1.31216e+11,0.98097181,0.9200812,0.33333334,1.9283925,4.2639856,0.60229748,0.83303672,2.6392572,755,2.1770127
327735,-52000,6000,108,4.7536666e+08,0.21027891,316.65213,27270.346,66312.961,2399.9722,12832.323,168547.16,3163052.8,1.35044e+11,0.98823124,0.91497105,0.33027524,1.9270618,4.2605386,0.60181057,0.83294213,2.6405835,755,2.1785879
327736,-52000,8000,108,4.7370883e+08,0.21143998,313.71881,28642.459,67661.648,2490.0801,12667.788,167790.41,3274193,1.43648e+11,0.98823124,0.91497105,0.33027524,1.9270618,4.2605386,0.60181057,0.83294213,2.6405835,755,2.1785879
327737,-52000,10000,108,4.7174762e+08,0.21306404,311.06036,30114.033,69162.203,1080.6843,12482.657,166803.33,3406703.8,1.53124e+11,0.98823124,0.91497105,0.33027524,1.9270618,4.2605386,0.60181057,0.83294213,2.6405835,755,2.1785879
327741,-52000,18000,51,2.1529562e+08,0.13061111,45.878017,20701.613,51173.43,1111.5388,38863.988,143923.75,1256018.9,4.384e+10,0.95137256,0.7539081,0.18411553,1.4446745,4.3305554,0.61170065,0.83485329,2.6140583,755,2.5592906
327742,-52000,20000,54,2.2994074e+08,0.13479449,41.294144,19952.398,49982.59,682.29565,49734.926,146412.05,1339561.8,4.6407999e+10,0.93151641,0.81140918,0.19494584,1.4529904,4.3412571,0.61321223,0.83514345,2.6100795,755,2.55018
393269,-50000,2000,109,4.7634621e+08,0.21074651,320.44626,23251.656,62222.625,972.59338,12755.346,168533.44,2939322.5,1.15824e+11,0.98097181,0.92008114,0.33333334,1.9283925,4.2639856,0.60229748,0.83303672,2.6392572,755,2.1770127
393270,-50000,4000,108,4.7475328e+08,0.2115906,316.82507,24512.443,63492.984,2391.1909,12640.376,167915.48,2956807.2,1.19124e+11,0.98823124,0.91497105,0.33027524,1.9270618,4.2605386,0.60181057,0.83294213,2.6405835,755,2.1785879
