Ref,x,y,Connectivity,Isovist Area,Isovist Compactness,Isovist Drift Angle,Isovist Drift Magnitude,Isovist Max Radial,Isovist Min Radial,Isovist Occlusivity,Isovist Perimeter,Point First Moment,Point Second Moment,Visual Clustering Coefficient,Visual Control,Visual Controllability,Visual Entropy,Visual Integration [HH],Visual Integration [P-value],Visual Integration [Tekl],Visual Mean Depth,Visual Node Count,Visual Relativised Entropy
65541,-708,-528,119,459.93143,0.18429537,15.740795,17.513109,66.480675,0.046041448,79.449837,177.09009,2385.9966,74748,0.64463753,1.1089866,0.40893471,1.689743,6.0884738,0.98067594,0.88406748,1.9974748,397,1.9125583
65542,-708,-526,134,519.72449,0.16034533,7.9102068,20.87825,77.86525,0.56495285,98.387337,201.81961,3165.239,121360,0.61025697,1.2699009,0.4379085,1.5396646,6.8128815,1.0973569,0.90100867,1.8914142,397,1.9582123
65543,-708,-524,143,554.90906,0.12922831,2.0727901,23.161472,91.931091,0.56495285,94.922958,232.29347,3622.8171,150960,0.57756329,1.3791327,0.42307693,1.4442035,7.7081637,1.2415609,0.92037886,1.7878788,397,1.9470676
65544,-708,-522,127,511.2543,0.11803427,355.66415,19.911285,91.711868,0.56495285,110.11331,233.30249,2623.1641,84452,0.62404698,1.1881765,0.4364261,1.6986582,6.2143335,1.0009483,0.88710338,1.9772727,397,1.8916409
65545,-708,-520,104,397.89514,0.18670629,343.04089,13.485408,56.88908,0.56495285,60.750221,163.64764,1601.1372,36396,0.66392833,0.99387109,0.36619717,1.6799939,5.7672591,0.92893767,0.87612516,2.0530303,397,1.9611387
65546,-708,-518,98,378.04117,0.15472829,346.17929,12.953373,57.281597,0.56495285,94.887222,175.2224,1515.0079,35200,0.59457183,1.0116854,0.32775921,1.5771085,5.9824557,0.9635995,0.88147765,2.0151515,397,2.015902
65547,-708,-516,110,413.20355,0.12406893,347.56732,15.203962,71.507072,0.56495285,101.52937,204.57635,1955.5299,54104,0.54895747,1.1875036,0.35143769,1.5418249,6.4303398,1.0357406,0.89221984,1.9444444,397,1.9903884
65548,-708,-514,88,342.44116,0.25426766,329.11292,12.248364,36.212006,0.56495285,45.05645,130.09253,1251.5679,22164,0.64341694,0.94358301,0.34108528,1.7099063,5.2055135,0.83845675,0.86149174,2.1666667,397,2.0217862
65549,-708,-512,84,314.18234,0.29271883,320.00986,12.730625,30.17104,0.56495285,39.694935,116.13697,1237.9121,21960,0.65031552,0.90104425,0.3255814,1.6998893,5.160831,0.83125967,0.86028302,2.1767676,397,2.0365117
131076,-706,-530,98,397.64343,0.24037559,31.558376,11.982785,48.344189,0.048083674,58.279625,144.18054,1334.5571,22704,0.77487904,0.89793855,0.35636362,1.6847337,5.5670071,0.89668286,0.87102306,2.090909,397,1.986058
131077,-706,-528,113,447.33633,0.19790998,18.421371,14.722014,60.418537,1.5133131,74.497177,168.53426,1929.9072,52536,0.66972184,1.0415311,0.38831615,1.6808785,5.9973745,0.96600252,0.88184392,2.0126262,397,1.9302307
131078,-706,-526,133,516.82312,0.16320321,8.7256365,18.839363,75.145554,2.5111759,97.360893,199.4856,2874.4182,104420,0.61460471,1.2527032,0.43464053,1.5387521,6.7936358,1.0942571,0.90057439,1.8939394,397,1.9608029
131079,-706,-524,142,553.72339,0.13090366,2.1447322,21.205673,89.939743,2.5649529,92.675903,230.55548,3362.6338,134676,0.58775347,1.3627651,0.42771083,1.4677864,7.5390191,1.2143166,0.91683668,1.8055556,397,1.942847
131080,-706,-522,127,510.93738,0.12065448,355.1221,18.329674,89.719475,2.5649529,108.92321,230.68378,2438.9016,75532,0.63229597,1.1784064,0.4364261,1.6986582,6.2143335,1.0009483,0.88710338,1.9772727,397,1.8916409
131081,-706,-520,92,356.13779,0.25639409,334.02661,9.5669813,41.607979,2.5649529,45.397785,132.11739,1081.8761,17320,0.73315817,0.87902802,0.33576643,1.6726912,5.4782395,0.88238496,0.86872202,2.1085858,397,2.0082479
131082,-706,-518,76,296.87839,0.33440667,318.08469,8.2406225,24.396112,2.5649529,39.586361,105.62257,788.24335,10556,0.74982458,0.78375244,0.296875,1.6793916,5.0524101,0.81379622,0.85732043,2.2020202,397,2.0705812
131083,-706,-516,99,385.08005,0.12714387,349.10339,12.968946,67.582726,2.5649529,93.989746,195.08897,1575.1046,41100,0.55967844,1.0827688,0.31730768,1.5178584,6.230433,1.0035415,0.88748872,1.9747474,397,2.0340219
131084,-706,-514,87,330.31238,0.083750382,333.67899,11.26926,82.805206,2.5649529,139.10229,222.62502,1216.1234,26236,0.61507618,0.94943571,0.30208334,1.5528337,5.6989269,0.91793132,0.8743977,2.0656567,397,2.0760717
131085,-706,-512,81,295.4072,0.2907497,315.71555,10.748741,28.300154,0.67943555,38.891579,112.99412,1082.9003,17800,0.65123457,0.87298691,0.31395349,1.6917013,5.1278191,0.82594246,0.85938543,2.1843433,397,2.0481865
196612,-704,-530,98,392.59256,0.21323314,38.744312,10.016725,45.332493,1.2487209,64.328819,152.1068,1215.3635,18888,0.78308439,0.89813858,0.37984496,1.7061938,5.3562298,0.86273277,0.86551803,2.1338384,397,2.0041428
196613,-704,-528,110,435.48303,0.21270283,22.280132,12.029119,54.363899,2.8482428,69.879837,160.39984,1641.3523,39168,0.67956632,1.0117702,0.37800688,1.6757354,5.9528394,0.95882922,0.88074875,2.0202019,397,1.9397162
196614,-704,-526,134,513.90662,0.16557446,9.7798843,16.788019,72.427567,4.3396707,96.56736,197.49239,2746.6924,97216,0.61463362,1.2567563,0.4379085,1.5396646,6.8128815,1.0973569,0.90100867,1.8914142,397,1.9582123
196615,-704,-524,144,552.78278,0.13232899,2.2377322,19.239468,87.948914,4.2260876,90.64856,229.1156,3265.4661,127448,0.58925796,1.377256,0.43373495,1.46978,7.5865841,1.2219779,0.91783792,1.800505,397,1.9371437
196616,-704,-522,127,511.26166,0.12313907,354.51776,16.806248,87.7285,2.8061175,108.02363,228.4171,2310.937,69208,0.63842022,1.171355,0.4364261,1.6986582,6.2143335,1.0009483,0.88710338,1.9772727,397,1.8916409
196617,-704,-520,80,313.88199,0.4438518,317.55615,6.6892886,22.916153,2.3738453,27.006977,94.269051,756.63611,9020,0.8294304,0.76704144,0.3137255,1.6678572,5.1169086,0.82418513,0.85908794,2.1868687,397,2.0707457
196618,-704,-518,58,231.83398,0.4508945,291.26111,5.7982478,20.794376,2.3738453,25.498209,80.381485,484.56082,5216,0.87174833,0.60114866,0.24369748,1.6492635,4.6788855,0.75363231,0.84677178,2.2979798,397,2.1631341
196619,-704,-516,94,350.3772,0.1303208,353.60239,10.930522,63.636749,2.3839588,86.901672,183.80865,1374.1052,33000,0.56257147,1.0307986,0.30420712,1.5138012,6.1039267,0.98316497,0.88444245,1.9949495,397,2.0532625
196620,-704,-514,82,315.75885,0.096100293,340.11328,10.354716,73.713676,2.6794355,120.31909,203.19843,1137.9546,27752,0.58536583,0.91424823,0.26885247,1.4876658,5.8657246,0.94479758,0.87859052,2.0353534,397,2.106786
196621,-704,-512,74,276.64505,0.28565189,311.0285,8.867301,26.474882,0.67943555,38.506931,110.31837,884.1864,13184,0.65716404,0.8079505,0.28793773,1.6716683,5.0418177,0.81209016,0.85702866,2.2045455,397,2.0783808
262147,-702,-532,106,421.33386,0.28368083,53.481464,11.733459,42.843323,0.64020151,43.701439,136.6165,1493.4558,27260,0.73099732,0.98427308,0.37588653,1.6334895,5.8514528,0.9424988,0.87823492,2.0378788,397,1.9902011
