Ref,x,y,Connectivity,Isovist Area,Isovist Compactness,Isovist Drift Angle,Isovist Drift Magnitude,Isovist Max Radial,Isovist Min Radial,Isovist Occlusivity,Isovist Perimeter,Point First Moment,Point Second Moment,Visual Clustering Coefficient,Visual Control,Visual Controllability,Visual Entropy,Visual Integration [HH],Visual Integration [P-value],Visual Integration [Tekl],Visual Mean Depth,Visual Node Count,Visual Relativised Entropy
6619296,1352000,880000,48,1.8707518e+08,0.21252978,7.8510127,22300.836,49193.207,110.25221,51928.035,105172.72,1067963.9,3.0468e+10,0.88386524,0.69835013,0.18390805,2.1989639,2.7986352,0.29335201,0.80046952,4.3994517,4377,2.8378036
6684831,1354000,878000,40,1.6166504e+08,0.16926724,16.010468,19483.199,50485.77,914.04321,58651.402,109553.57,790108.38,2.128e+10,0.90897435,0.60052466,0.15267175,2.1951988,2.7973192,0.29321402,0.80043036,4.401051,4377,2.84059
6684832,1354000,880000,49,1.877065e+08,0.21002907,8.7685213,20339.701,47585.688,964.10516,51943.297,105975.35,1016399.1,2.8228e+10,0.87585032,0.70575988,0.18702289,2.199898,2.7990117,0.29339144,0.80048072,4.3989944,4377,2.8370273
6684841,1354000,898000,11,44404352,0.25041416,359.47171,9268.0684,19838.807,1.9677168,17277.627,47205.027,110110.77,1.472e+09,0.9818182,0.58810228,0.2,2.3284504,1.7870326,0.18731615,0.7647627,6.3238115,4377,3.4010575
6684842,1354000,900000,14,54151212,0.29112497,345.95767,10400.924,20199.541,82.742058,11539.529,48346.973,149412.72,1.952e+09,0.92307693,0.81388688,0.25,2.3301651,1.7874162,0.18735635,0.76477903,6.322669,4377,3.4003086
6750367,1356000,878000,38,1.549077e+08,0.15814735,18.471325,17021.99,49339.422,396.40509,60635.664,110945.7,688715.56,1.8219999e+10,0.8449502,0.58132786,0.14339623,2.1953363,2.797507,0.29323372,0.80043596,4.4008226,4377,2.8402944
6750368,1356000,880000,49,1.8814538e+08,0.20671801,9.9123421,18370.232,46053.039,1481.7433,52085.867,106945.51,930366.5,2.4452e+10,0.87585032,0.70575988,0.18702289,2.199898,2.7990117,0.29339144,0.80048072,4.3989944,4377,2.8370273
6750377,1356000,898000,13,48770556,0.26717305,358.05417,7802.9077,17839.484,245.70641,17290.447,47894.699,119260.6,1.436e+09,0.96153843,0.67323834,0.23214285,2.3297949,1.7873396,0.18734832,0.76477575,6.3228974,4377,3.4004331
6815904,1358000,880000,50,1.882229e+08,0.20223048,11.378513,16380.741,44618.887,1810.6187,52433.031,108147.84,891085.75,2.2584001e+10,0.86204082,0.71163255,0.19083969,2.2003767,2.7991998,0.29341117,0.80048633,4.398766,4377,2.8366747
6815905,1358000,882000,54,2.0683192e+08,0.23865804,2.6806638,16750.691,41916.207,67.529686,40655.355,104357.98,973147.06,2.3648e+10,0.85814118,0.73589605,0.20610687,2.2022116,2.799953,0.29349011,0.80050874,4.3978519,4377,2.8353443
6815913,1358000,898000,14,54086924,0.28782031,355.69257,6219.8306,15840.405,489.4451,13175.423,48594.859,111224.05,1.12e+09,0.94505495,0.75016141,0.25,2.3301651,1.7874162,0.18735635,0.76477903,6.322669,4377,3.4003086
6881440,1360000,880000,47,1.8764158e+08,0.19594675,13.33132,14342.179,43317.949,1292.9806,53124.223,109698.44,736665,1.6988e+10,0.86586493,0.68224758,0.17938931,2.1989155,2.7986352,0.29335201,0.80046952,4.3994517,4377,2.8377573
6881441,1360000,882000,55,2.1100315e+08,0.23978554,3.2090178,14882.806,40243.477,585.16779,39679.387,105156.94,903213.5,2.0340001e+10,0.85858583,0.74873269,0.20992367,2.2026508,2.8001411,0.29350984,0.80051434,4.3976235,4377,2.8350313
6881449,1360000,898000,15,56044268,0.2920669,352.97244,4249.8047,13867.136,733.18378,9785.002,49105.414,101731.02,8.4e+08,0.92380953,0.83825666,0.26785713,2.3305037,1.787493,0.1873644,0.76478225,6.3224406,4377,3.4002156
6946976,1362000,880000,47,1.8653709e+08,0.18260431,16.133665,12165.837,42203.395,775.34247,55794.805,113300.55,647582.06,1.336e+10,0.83348751,0.70891863,0.17938931,2.1989155,2.7986352,0.29335201,0.80046952,4.3994517,4377,2.8377573
6946977,1362000,882000,55,2.1610915e+08,0.24084426,3.9108756,13036.663,38644.488,1102.8059,38599.957,106187.49,827437.88,1.7268001e+10,0.85858583,0.74873269,0.20992367,2.2026508,2.8001411,0.29350984,0.80051434,4.3976235,4377,2.8350313
6946985,1362000,898000,15,57097076,0.28713468,346.24643,2363.6885,12029.644,1057.1332,8702.9707,49988.379,90315.578,6.48e+08,0.92380953,0.83825666,0.26785713,2.3305037,1.787493,0.1873644,0.76478225,6.3224406,4377,3.4002156
7012512,1364000,880000,47,1.8271877e+08,0.16019148,21.329245,9689.9336,41360.98,257.70438,53749.441,119722.78,615688.69,1.2436e+10,0.79463458,0.71081668,0.17735849,2.2002401,2.7991998,0.29341117,0.80048633,4.398766,4377,2.8365266
7012513,1364000,882000,57,2.2269611e+08,0.23893443,4.8760948,11221.062,37147.203,1620.444,38105.77,108223.58,802099.06,1.5888e+10,0.84586465,0.77002698,0.21673004,2.2039657,2.8007064,0.29356909,0.80053115,4.3969378,4377,2.8339996
7012520,1364000,896000,12,51030680,0.26192221,38.101799,2418.4202,12105.169,43.189701,17618.936,49480.543,61942.223,4.04e+08,0.9848485,0.58232927,0.21428572,2.3293912,1.7872628,0.18734027,0.76477247,6.3231263,4377,3.4005909
7012521,1364000,898000,16,58342860,0.28482869,306.05014,778.63354,11597.017,804.72864,8865.7646,50734.91,93013.641,6.64e+08,0.86666667,0.86567914,0.28070176,2.3312113,1.7876465,0.18738049,0.76478881,6.3219833,4377,3.399905
7078048,1366000,880000,45,1.7083104e+08,0.10938393,39.379009,7306.8115,40938.48,472.61838,81296.25,140091.42,517168.97,9.1919995e+09,0.66666669,0.74646753,0.16666667,2.2013688,2.7997646,0.29347035,0.80050313,4.3980803,4377,2.8353024
7078049,1366000,882000,59,2.3719619e+08,0.21572979,7.1690717,9388.4453,35795.695,2138.082,41774.59,117544.88,759444.88,1.3732e+10,0.80537695,0.81834894,0.22348484,2.2052555,2.8012717,0.29362833,0.80054802,4.3962522,4377,2.832993
7078050,1366000,884000,58,2.1902552e+08,0.2612856,351.13828,8934.7764,32583.742,206.23039,20073.494,102634.78,773124.88,1.3748e+10,0.84210527,0.7670598,0.22137405,2.2039232,2.8007064,0.29356909,0.80053115,4.3969378,4377,2.8341372
7078056,1366000,896000,14,58355788,0.26718581,108.21419,1719.4359,13995.315,286.92838,18072.418,52389.012,73089.828,5.08e+08,0.8901099,0.69130361,0.24561404,2.3305478,1.787493,0.1873644,0.76478225,6.3224406,4377,3.4000769
7078057,1366000,898000,16,61006176,0.27786511,212.88911,1453.116,13596.778,552.32416,9408.9541,52526.059,91830.172,7e+08,0.86666667,0.86567914,0.28070176,2.3312113,1.7876465,0.18738049,0.76478881,6.3219833,4377,3.399905
7078069,1366000,922000,5,19782926,0.41575032,354.69434,3527.8892,8621.1572,825.91315,2060.2502,24453.098,28246.211,1.88e+08,1,0.62922776,0.14705883,2.3155727,1.7848109,0.18708326,0.76466811,6.3304386,4377,3.4091289
7143584,1368000,880000,62,2.4473776e+08,0.15561402,81.001549,13533.234,42524.027,732.38892,35541,140582.44,964777,2.2172e+10,0.61396086,1.1583834,0.32804233,2.3217139,2.2001004,0.23061377,0.78091091,5.3242688,4377,3.1034143
7143585,1368000,882000,93,3.7075222e+08,0.1385489,50.602509,10241.168,40549.617,2655.7202,28001.225,183377.17,1454385.6,3.0772001e+10,0.53202432,1.4483445,0.28353658,2.2442856,2.8198659,0.29557738,0.80109972,4.3738575,4377,2.8001571
7143586,1368000,884000,91,3.589968e+08,0.14541861,46.113052,8357.8418,38577.844,723.86847,24499.426,176132.8,1339452,2.6535999e+10,0.53748477,1.4355009,0.27743903,2.2436674,2.819484,0.29553732,0.80108839,4.3743143,4377,2.8005269
7143592,1368000,896000,19,73659616,0.15587324,125.57927,2569.5256,18743.576,530.66705,36307.488,77060.867,115921.05,9.48e+08,0.70760232,0.88620341,0.33333334,2.3319921,1.7878768,0.18740463,0.76479858,6.3212981,4377,3.3998613
7143593,1368000,898000,19,70699784,0.24419683,213.44235,2739.5923,15596.601,299.91968,12658.325,60317.586,119027.62,1.024e+09,0.71345031,0.94880337,0.3275862,2.3324058,1.7879536,0.18741268,0.76480186,6.3210692,4377,3.3995986
7143605,1368000,922000,5,20015726,0.41154939,347.49014,1599.1108,6751.5449,840.95831,2101.1206,24721.773,20324.555,1e+08,1,0.62922776,0.14705883,2.3155727,1.7848109,0.18708326,0.76466811,6.3304386,4377,3.4091289
7209120,1370000,880000,56,2.2458845e+08,0.16586956,91.605942,13868.349,42351.613,992.15942,41665.777,130441.35,855327.56,1.9096001e+10,0.65389609,1.0339825,0.2962963,2.3201659,2.199403,0.23054066,0.78088576,5.3256397,4377,3.1038275
7209121,1370000,882000,92,3.7292867e+08,0.13598441,58.705822,9091.248,40354.785,1731.5518,39508.27,185640.73,1370314.1,2.7824001e+10,0.53846157,1.4381267,0.28048781,2.243979,2.819675,0.29555735,0.80109406,4.3740859,4377,2.8003395
