Ref,x,y,Connectivity,Isovist Area,Isovist Compactness,Isovist Drift Angle,Isovist Drift Magnitude,Isovist Max Radial,Isovist Min Radial,Isovist Occlusivity,Isovist Perimeter,Point First Moment,Point Second Moment,Visual Clustering Coefficient,Visual Control,Visual Controllability,Visual Entropy,Visual Integration [HH],Visual Integration [P-value],Visual Integration [Tekl],Visual Mean Depth,Visual Node Count,Visual Relativised Entropy
1048627,-10000,80000,110,4.5247795e+08,0.46931058,8.740284,12691.264,33226.094,1051.1429,27772.932,110071.14,1564382.5,2.6748e+10,0.93461215,0.84721482,0.49773756,2.1371248,3.0940614,0.38848308,0.80106306,3.5552447,1431,2.541883
1048628,-10000,82000,120,4.9185091e+08,0.31640995,356.81979,13633.248,45172.34,1051.1429,42504.168,139764.42,1851091.8,3.6659999e+10,0.86862743,0.94171983,0.28776979,1.9210002,3.9879012,0.50071156,0.8266353,2.9825175,1431,2.383744
1048629,-10000,84000,126,5.1001152e+08,0.23238203,346.65213,14384.253,49480.391,1051.1429,57817.477,166070.94,2066057.8,4.4631998e+10,0.82412696,1.0073824,0.25454545,1.9571986,4.1156535,0.51675183,0.82992715,2.920979,1431,2.3214047
1048630,-10000,86000,127,5.2053258e+08,0.23736939,338.00238,15226.233,50021.879,1051.1429,67288.398,166003.23,2157857.8,4.8215998e+10,0.82789654,1.0053619,0.25604838,1.95848,4.1186523,0.51712829,0.8300035,2.9195805,1431,2.3197787
1048631,-10000,88000,128,5.2320886e+08,0.24069425,330.31113,16100.509,50710.82,1051.1429,66780.984,165275.94,2253744.8,5.0475999e+10,0.83673722,1.0193973,0.2644628,1.9567195,4.1022134,0.5150643,0.82958448,2.9272728,1431,2.325309
1048632,-10000,90000,129,5.1959654e+08,0.24118216,323.86011,17057.076,51539.07,996.75513,62237.863,164537.72,2444491.5,5.8480001e+10,0.83078974,0.99004352,0.24571429,1.9645571,4.1656966,0.52303505,0.83119583,2.897902,1431,2.3043184
1114162,-8000,78000,108,4.3832787e+08,0.48406041,21.968109,10921.504,30572.316,321.51691,27045.891,106673.05,1414637.2,2.2324001e+10,0.93734854,0.83593225,0.48868778,2.1370881,3.0923688,0.38827056,0.8010096,3.5566432,1431,2.5415766
1114163,-8000,80000,113,4.7209635e+08,0.33791173,6.9750242,10691.035,31437.926,2092.8447,42459.746,132500.84,1447942.2,2.2740001e+10,0.93094182,0.86676258,0.51131225,2.1370423,3.0966036,0.38880229,0.80114329,3.5531468,1431,2.5424786
1114164,-8000,82000,126,5.1221446e+08,0.23401466,352.83118,11916.513,47119.523,3051.1428,46441.637,165847.66,1809157,3.4363998e+10,0.83276188,1.0124874,0.28378379,1.9404789,4.0348682,0.50660855,0.82785457,2.9594405,1431,2.3561053
1114165,-8000,84000,129,5.2583392e+08,0.23930475,342.07797,12678.258,47539.172,3051.1428,56233.094,166170.36,1957068.6,4.0580002e+10,0.81843507,1.0240871,0.26219511,2.1234334,3.882452,0.48747155,0.82385814,3.0363636,1431,2.2575402
1114166,-8000,86000,132,5.3003101e+08,0.24212264,333.448,13571.902,48124.508,3051.1428,61691.836,165858.55,2109358.2,4.566e+10,0.81355542,1.0425587,0.26612905,1.9637142,4.1261678,0.51807195,0.83019465,2.9160838,1431,2.3144042
1114167,-8000,88000,130,5.261511e+08,0.24304453,325.68292,14447.993,48866.781,3031.3552,61611.793,164936.69,2144429.5,4.6804001e+10,0.82850325,1.0034591,0.24761905,1.9656808,4.167232,0.52322787,0.83123457,2.8972027,1431,2.3031595
1114168,-8000,90000,129,5.215217e+08,0.2388027,318.89539,15531.254,49756.336,1031.6599,62712.133,165661.47,2270943,5.1888001e+10,0.8352713,0.97709769,0.24760076,2.1219175,3.9215055,0.49237502,0.82489318,3.016084,1431,2.2508938
1179698,-6000,78000,115,4.6522326e+08,0.35100842,20.627573,8800.5283,28523.068,1329.4396,41014.379,129055.61,1373509.8,1.9732001e+10,0.92265445,0.87953281,0.4527559,2.1818664,3.1274412,0.39267418,0.80211222,3.527972,1431,2.4935784
1179699,-6000,80000,120,4.9529261e+08,0.35308096,2.43629,8794.5684,29759.676,3021.4985,40099.453,132769.62,1454528.1,2.224e+10,0.89243698,0.93591905,0.46875,2.1850564,3.1335089,0.39343601,0.80230206,3.523077,1431,2.4909477
